,Team,Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,FTM/A,OFF,DEF,TOT,AVG
2021,Mens,at Gonzaga,12/28/20,58-88,L,20-57,.722,5-17,13-18,10,22,32,27.3
2021,Mens,at Idaho,12/31/20,78-65,W,29-63,.688,9-21,11-16,8,26,34,28.1
2021,Mens,at Idaho,01/02/21,83-78,W (OT),29-62,.833,10-25,15-18,8,25,33,28.7
2021,Mens,vs Idaho St.,01/07/21,69-73,L,23-57,.882,8-18,15-17,12,19,31,28.9
2021,Mens,vs Idaho St.,01/09/21,70-76,L,25-50,.737,6-17,14-19,14,17,31,29.1
2021,Mens,at Montana,01/14/21,56-67,L,20-54,.588,6-13,10-17,14,16,30,29.2
2021,Mens,at Montana,01/16/21,62-58,W,25-57,.778,5-14,7-9,9,21,30,29.2
2021,Mens,vs Montana St.,01/21/21,51-62,L,20-50,.667,3-14,8-12,10,17,27,29.1
2021,Mens,vs Montana St.,01/23/21,53-58,L,21-50,.588,1-7,10-17,6,27,33,29.3
2021,Mens,vs Northern Colo.,01/29/21,68-64,W,27-53,.533,6-10,8-15,6,21,27,29.2
2021,Mens,at Weber St.,02/18/21,59-92,L,20-53,.813,6-18,13-16,7,18,25,28.9
2021,Mens,at Weber St.,02/20/21,52-74,L,21-51,.600,4-16,6-10,2,23,25,28.7
2021,Mens,at Southern Utah,02/24/21,80-85,L,31-63,.400,14-31,4-10,10,21,31,28.8
2021,Mens,vs Southern Utah,02/26/21,62-92,L,20-50,.565,9-22,13-23,5,17,22,28.5
2021,Mens,at Portland St.,03/10/21,77-66,W,27-46,.458,12-16,11-24,4,27,31,28.6
2021,Mens,at Eastern Wash.,03/11/21,60-66,L,26-59,.500,4-19,4-8,6,21,27,28.5
2020,Mens,at Arizona,11/06/19,52-91,L,17-54,.706,6-18,12-17,10,22,32,32.0
2020,Mens,vs SAGU American Indian,11/15/19,105-32,W,38-74,.600,17-41,12-20,16,43,59,45.5
2020,Mens,vs Benedictine Mesa,11/20/19,93-56,W,38-69,.571,9-21,8-14,12,31,43,44.7
2020,Mens,vs South Dakota,11/30/19,76-72,W,24-56,.571,8-18,20-35,13,18,31,41.3
2020,Mens,vs UC Davis,12/04/19,66-85,L,22-54,.789,7-28,15-19,9,13,22,37.4
2020,Mens,vs Omaha,12/08/19,73-65,W,28-59,.625,7-21,10-16,12,33,45,38.7
2020,Mens,at Utah Valley,12/14/19,79-73,W,28-60,.762,7-15,16-21,5,25,30,37.4
2020,Mens,at UC Riverside,12/19/19,63-56,W,21-51,.750,6-20,15-20,9,24,33,36.9
2020,Mens,at Pepperdine,12/21/19,73-75,L,26-57,.846,10-22,11-13,8,20,28,35.9
2020,Mens,at Montana,12/28/19,72-79,L,25-59,.667,8-19,14-21,13,20,33,35.6
2020,Mens,at Montana St.,12/30/19,61-63,L,24-60,.500,8-28,5-10,10,22,32,35.3
2020,Mens,vs Weber St.,01/04/20,72-64,W,28-49,.778,9-16,7-9,6,25,31,34.9
2020,Mens,at Sacramento St.,01/09/20,57-64,L,23-55,.778,4-11,7-9,9,18,27,34.3
2020,Mens,vs Idaho St.,01/11/20,67-71,L,28-63,.375,8-21,3-8,9,25,34,34.3
2020,Mens,at Southern Utah,01/16/20,75-72,W,25-56,.739,8-18,17-23,9,20,29,33.9
2020,Mens,at Northern Colo.,01/18/20,64-58,W,24-57,.929,3-14,13-14,11,33,44,34.6
2020,Mens,vs Portland St.,01/25/20,84-82,W,30-64,.778,10-25,14-18,10,22,32,34.4
2020,Mens,vs Sacramento St.,01/27/20,69-54,W,21-41,.769,7-14,20-26,6,27,33,34.3
2020,Mens,vs Idaho,02/01/20,77-72,W,23-50,.684,5-20,26-38,11,28,39,34.6
2020,Mens,vs Eastern Wash.,02/03/20,66-77,L,23-56,.778,6-17,14-18,9,25,34,34.6
2020,Mens,at Idaho St.,02/06/20,88-87,W (OT),36-66,.667,6-12,10-15,5,26,31,34.4
2020,Mens,at Weber St.,02/08/20,70-76,L,25-60,.909,10-27,10-11,8,25,33,34.3
2020,Mens,vs Northern Colo.,02/13/20,54-84,L,22-55,.444,6-17,4-9,9,19,28,34.0
2020,Mens,vs Southern Utah,02/15/20,82-69,W,25-57,.900,5-18,27-30,10,24,34,34.0
2020,Mens,at Idaho,02/20/20,78-61,W,31-66,.500,9-30,7-14,10,28,38,34.2
2020,Mens,at Eastern Wash.,02/22/20,70-80,L,26-57,.615,10-24,8-13,5,25,30,34.0
2020,Mens,vs Montana,02/27/20,57-56,W,21-45,.706,3-9,12-17,5,21,26,33.7
2020,Mens,vs Montana St.,02/29/20,57-63,L,19-60,.789,4-27,15-19,13,26,39,33.9
2020,Mens,at Portland St.,03/05/20,66-80,L,26-55,.400,6-16,8-20,13,19,32,33.9
2020,Mens,vs Idaho St.,03/11/20,62-64,L,23-64,.857,4-13,12-14,10,30,40,34.1
2019,Mens,vs Jacksonville,11/10/18,97-82,W,36-74,.600,10-29,15-25,17,25,42,42.0
2019,Mens,at South Dakota,11/12/18,74-90,L,22-54,.750,9-24,21-28,6,19,25,33.5
2019,Mens,at Omaha,11/14/18,76-66,W,27-64,.800,6-22,16-20,12,30,42,36.3
2019,Mens,at Hawai'i,11/18/18,68-85,L,20-48,.781,3-20,25-32,6,16,22,32.8
2019,Mens,at UC Davis,11/29/18,57-73,L,22-51,.455,8-25,5-11,7,26,33,32.8
2019,Mens,at Santa Clara,12/01/18,74-81,L,29-62,.714,6-22,10-14,10,21,31,32.5
2019,Mens,vs Utah Valley,12/08/18,78-98,L,25-57,.714,13-26,15-21,6,21,27,31.7
2019,Mens,at San Jose St.,12/15/18,74-79,L,22-58,.720,12-32,18-25,9,19,28,31.3
2019,Mens,at San Francisco,12/19/18,60-76,L,22-51,.643,7-20,9-14,7,30,37,31.9
2019,Mens,at Utah,12/21/18,62-76,L,23-57,.500,7-22,9-18,11,22,33,32.0
2019,Mens,vs Montana,12/29/18,73-86,L,23-62,.842,11-26,16-19,10,21,31,31.9
2019,Mens,vs Montana State,12/31/18,74-68,W,26-59,.682,7-22,15-22,10,31,41,32.7
2019,Mens,at Weber State,01/03/19,52-77,L,18-58,.579,5-24,11-19,6,28,34,32.8
2019,Mens,at Idaho State,01/05/19,81-69,W,27-48,.950,8-16,19-20,6,25,31,32.6
2019,Mens,at Southern Utah,01/12/19,82-84,L,30-61,.643,13-33,9-14,5,26,31,32.5
2019,Mens,vs Sacramento State,01/17/19,64-66,L,23-55,.579,7-20,11-19,9,25,34,32.6
2019,Mens,vs Portland State,01/19/19,82-75,W,27-55,.690,8-19,20-29,9,24,33,32.6
2019,Mens,vs Northern Colorado,01/26/19,48-63,L,18-51,.600,3-15,9-15,7,23,30,32.5
2019,Mens,vs Southern Utah,01/28/19,80-77,W (OT),29-76,.684,9-25,13-19,14,32,46,33.2
2019,Mens,at Idaho,02/02/19,86-73,W,34-68,.444,10-29,8-18,15,30,45,33.8
2019,Mens,at Eastern Washington,02/04/19,64-82,L,20-59,.667,12-33,12-18,11,23,34,33.8
2019,Mens,vs Idaho State,02/07/19,79-81,L,27-54,.818,7-22,18-22,11,22,33,33.8
2019,Mens,vs Weber State,02/09/19,71-86,L,27-64,.650,4-20,13-20,8,27,35,33.8
2019,Mens,at Portland State,02/14/19,94-103,L,30-62,.733,12-27,22-30,12,19,31,33.7
2019,Mens,at Sacramento State,02/16/19,78-66,W,27-47,.700,10-21,14-20,5,21,26,33.4
2019,Mens,vs Idaho,02/21/19,75-54,W,30-62,.533,7-26,8-15,13,30,43,33.8
2019,Mens,vs Eastern Washington,02/23/19,73-86,L,21-63,.824,3-24,28-34,11,29,40,34.0
2019,Mens,at Montana State,03/02/19,73-84,L,27-65,.889,11-29,8-9,10,25,35,34.0
2019,Mens,at Montana,03/04/19,64-66,L,24-57,.833,11-27,5-6,7,21,28,33.8
2019,Mens,at Northern Colorado,03/09/19,89-78,W (OT),28-64,.800,13-29,20-25,10,31,41,34.1
2019,Mens,vs SACRAMENTO STATE,03/13/19,60-72,L,21-53,.846,7-20,11-13,12,22,34,34.1
2018,Mens,at Arizona,11/10/17,67-101,L,23-58,.567,4-13,17-30,12,11,23,23.0
2018,Mens,vs Embry-Riddle,11/13/17,70-82,L,21-59,.676,5-21,23-34,12,24,36,29.5
2018,Mens,at Arizona State,11/17/17,62-97,L,19-60,.773,7-29,17-22,15,27,42,33.7
2018,Mens,at Kansas State,11/20/17,58-80,L,16-41,.778,5-19,21-27,11,25,36,34.3
2018,Mens,at HAMPTON,11/23/17,66-76,L,21-57,.571,8-24,16-28,9,23,32,33.8
2018,Mens,vs UC IRVINE,11/24/17,71-77,L,22-58,.826,8-20,19-23,13,20,33,33.7
2018,Mens,at Santa Clara,11/30/17,57-89,L,18-46,.680,4-14,17-25,6,23,29,33.0
2018,Mens,at CSU Bakersfield,12/02/17,60-52,W,24-46,.571,4-16,8-14,10,20,30,32.6
2018,Mens,vs San Diego Christian,12/06/17,79-70,W,28-61,.773,6-16,17-22,12,31,43,33.8
2018,Mens,at San Diego,12/09/17,51-79,L,12-45,.828,3-15,24-29,7,20,27,33.1
2018,Mens,vs South Dakota,12/14/17,77-90,L,23-58,.808,10-27,21-26,9,20,29,32.7
2018,Mens,at USF,12/18/17,56-70,L,22-63,.571,4-23,8-14,14,20,34,32.8
2018,Mens,at Jacksonville,12/20/17,83-72,W,31-51,.789,6-15,15-19,8,28,36,33.1
2018,Mens,vs Montana,12/28/17,69-87,L,16-49,.857,7-17,30-35,10,23,33,33.1
2018,Mens,vs Montana State,12/30/17,73-76,L (OT),24-56,.621,7-18,18-29,12,40,52,34.3
2018,Mens,at Weber State,01/04/18,55-95,L,18-57,.583,5-22,14-24,10,24,34,34.3
2018,Mens,at Idaho State,01/06/18,60-64,L,22-56,.600,4-11,12-20,9,30,39,34.6
2018,Mens,at Southern Utah,01/13/18,75-81,L,25-63,.731,6-22,19-26,9,22,31,34.4
2018,Mens,vs Eastern Washington,01/18/18,76-81,L,27-53,.700,8-16,14-20,6,24,30,34.2
2018,Mens,vs Idaho,01/20/18,80-84,L,26-58,.636,14-31,14-22,10,19,29,33.9
2018,Mens,at Montana State,01/25/18,77-75,W,26-51,.654,8-21,17-26,5,26,31,33.8
2018,Mens,at Montana,01/27/18,64-82,L,20-48,.810,7-16,17-21,12,20,32,33.7
2018,Mens,vs Idaho State,02/01/18,61-63,L,23-65,.579,4-21,11-19,19,26,45,34.2
2018,Mens,vs Weber State,02/03/18,55-87,L,19-52,.615,1-13,16-26,9,18,27,33.9
2018,Mens,vs Southern Utah,02/10/18,54-63,L,16-56,.750,1-14,21-28,13,28,41,34.2
2018,Mens,at Northern Colorado,02/15/18,60-95,L,21-60,.640,2-16,16-25,10,17,27,33.9
2018,Mens,at North Dakota,02/17/18,81-86,L (OT),28-53,.789,10-23,15-19,6,22,28,33.7
2018,Mens,vs Sacramento State,02/22/18,58-53,W,17-49,.792,5-14,19-24,9,32,41,33.9
2018,Mens,vs Portland State,02/24/18,66-72,L,22-55,.792,3-15,19-24,7,25,32,33.9
2018,Mens,at IDAHO,03/01/18,52-66,L,17-59,.778,4-14,14-18,10,21,31,33.8
2018,Mens,at Eastern Washington,03/03/18,68-85,L,28-57,.571,4-15,8-14,11,20,31,33.7
2018,Mens,at Northern Colorado,03/06/18,59-82,L,23-50,.529,4-13,9-17,5,25,30,33.6
2017,Mens,at Santa Clara,11/11/16,64-67,L,20-59,.800,8-27,16-20,12,35,47,47.0
2017,Mens,vs Tennessee St.,11/12/16,65-69,L,17-58,.767,8-34,23-30,13,22,35,41.0
2017,Mens,at UC Davis,11/13/16,76-89,L,27-66,.737,8-32,14-19,10,20,30,37.3
2017,Mens,vs Benedictine Mesa,11/17/16,92-63,W,28-59,.722,10-23,26-36,11,34,45,39.3
2017,Mens,at Washington,11/20/16,58-92,L,20-65,.526,8-29,10-19,14,19,33,38.0
2017,Mens,at UNLV,11/22/16,71-110,L,28-67,.500,10-27,5-10,9,25,34,37.3
2017,Mens,vs Alabama St.,11/25/16,71-57,W,23-60,.724,4-19,21-29,17,29,46,38.6
2017,Mens,vs Jacksonville St.,11/26/16,63-76,L,23-66,.857,11-32,6-7,11,22,33,37.9
2017,Mens,vs San Diego,12/03/16,65-80,L,17-62,.697,8-25,23-33,13,26,39,38.0
2017,Mens,vs CSU Bakersfield,12/05/16,47-81,L,14-59,.536,4-24,15-28,18,19,37,37.9
2017,Mens,vs Ark.-Little Rock,12/14/16,67-72,L,24-59,.600,7-22,12-20,16,27,43,38.4
2017,Mens,at UTEP,12/17/16,76-74,W,29-54,.588,8-21,10-17,10,28,38,38.3
2017,Mens,at Ill.-Chicago,12/20/16,65-75,L,24-59,.800,9-22,8-10,9,20,29,37.6
2017,Mens,vs Southern Utah,12/31/16,80-93,L,25-56,.676,7-21,23-34,8,22,30,37.1
2017,Mens,at North Dakota,01/05/17,63-68,L,22-55,.714,9-23,10-14,7,27,34,36.9
2017,Mens,at Northern Colorado,01/07/17,79-83,L,25-59,.857,11-30,18-21,6,32,38,36.9
2017,Mens,vs Sacramento State,01/14/17,62-74,L,21-62,.917,9-23,11-12,13,25,38,37.0
2017,Mens,vs Portland State,01/16/17,83-76,W,26-53,.719,8-18,23-32,11,40,51,37.8
2017,Mens,at Eastern Washington,01/19/17,62-84,L,21-53,.579,9-20,11-19,10,23,33,37.5
2017,Mens,at Idaho,01/21/17,49-65,L,17-54,.632,3-20,12-19,13,24,37,37.5
2017,Mens,vs Northern Colorado,01/26/17,63-50,W,26-54,.800,3-16,8-10,10,34,44,37.8
2017,Mens,vs North Dakota,01/28/17,68-67,W,28-66,.625,7-23,5-8,18,25,43,38.0
2017,Mens,at Idaho State,02/02/17,90-91,L (OT),35-71,.750,14-33,6-8,16,24,40,38.1
2017,Mens,at Weber State,02/04/17,80-86,L,33-76,.615,6-19,8-13,15,27,42,38.3
2017,Mens,vs Montana State,02/09/17,69-63,W,21-52,.724,6-22,21-29,11,35,46,38.6
2017,Mens,vs Montana,02/11/17,59-76,L,25-57,.313,4-16,5-16,13,18,31,38.3
2017,Mens,at Southern Utah,02/18/17,68-84,L,24-52,.667,4-19,16-24,5,27,32,38.1
2017,Mens,at Sacramento State,02/23/17,73-69,W,24-52,.739,8-20,17-23,17,21,38,38.1
2017,Mens,at Portland State,02/25/17,72-84,L,29-59,.692,5-20,9-13,11,27,38,38.1
2017,Mens,vs Idaho,03/02/17,75-77,L,24-53,.519,13-32,14-27,10,18,28,37.7
2017,Mens,vs Eastern Washington,03/04/17,76-61,W,25-58,.833,6-15,20-24,12,35,47,38.0
2017,Mens,at Portland State,03/07/17,67-80,L,24-57,.714,4-19,15-21,15,24,39,38.1
2016,Mens,at Washington State,11/13/15,70-82,L,22-59,.733,4-16,22-30,13,26,39,39.0
2016,Mens,at Boise State,11/16/15,81-101,L,28-66,.700,11-24,14-20,9,18,27,33.0
2016,Mens,at GONZAGA,11/18/15,52-91,L,19-63,.647,3-17,11-17,9,22,31,32.3
2016,Mens,vs Embry-Riddle,11/20/15,90-57,W,34-63,.800,10-30,12-15,8,34,42,34.8
2016,Mens,vs San Diego Christian,11/23/15,81-65,W,30-58,.706,9-18,12-17,11,31,42,36.2
2016,Mens,vs Norfolk State,11/30/15,66-70,L,22-58,.684,9-25,13-19,11,26,37,36.3
2016,Mens,vs Hampton,12/02/15,94-98,L (2 OT),32-75,.905,11-29,19-21,12,29,41,37.0
2016,Mens,at CSU Bakersfield,12/05/15,55-72,L,16-57,.621,5-20,18-29,17,23,40,37.4
2016,Mens,at Arizona,12/16/15,37-92,L,12-55,.600,4-17,9-15,10,15,25,36.0
2016,Mens,at Little Rock,12/20/15,57-84,L,18-52,.778,7-20,14-18,9,21,30,35.4
2016,Mens,at Tulsa,12/22/15,55-90,L,16-51,.900,5-19,18-20,13,26,39,35.7
2016,Mens,vs Montana,12/31/15,84-90,L (2 OT),29-73,.583,12-30,14-24,8,34,42,36.3
2016,Mens,vs Montana State,01/02/16,72-74,L (OT),22-57,.731,9-25,19-26,7,32,39,36.5
2016,Mens,at Southern Utah,01/09/16,73-63,W,26-59,.882,6-16,15-17,13,31,44,37.0
2016,Mens,at IDAHO,01/14/16,76-83,L,24-53,.700,7-19,21-30,6,22,28,36.4
2016,Mens,at Eastern Washington,01/16/16,73-96,L,27-61,.833,9-18,10-12,6,15,21,35.4
2016,Mens,vs North Dakota,01/21/16,59-101,L,19-50,.414,9-24,12-29,5,23,28,35.0
2016,Mens,vs Northern Colorado,01/23/16,79-84,L,27-60,.667,9-28,16-24,4,22,26,34.5
2016,Mens,at Weber State,01/28/16,66-76,L,27-61,.750,6-18,6-8,6,26,32,34.4
2016,Mens,at Idaho State,01/30/16,66-88,L,24-60,.667,10-30,8-12,7,20,27,34.0
2016,Mens,vs Eastern Washington,02/04/16,73-84,L,27-58,.583,5-18,14-24,7,28,35,34.0
2016,Mens,vs IDAHO,02/06/16,72-70,W,21-57,.704,11-27,19-27,10,19,29,33.8
2016,Mens,at Montana State,02/11/16,58-101,L,15-42,.667,4-13,24-36,4,17,21,33.3
2016,Mens,at Montana,02/13/16,67-85,L,21-48,.800,9-18,16-20,4,18,22,32.8
2016,Mens,vs Idaho State,02/18/16,81-68,W,27-57,.696,11-29,16-23,5,29,34,32.8
2016,Mens,vs Weber State,02/20/16,74-77,L,26-62,.762,6-21,16-21,9,28,37,33.0
2016,Mens,vs Southern Utah,02/27/16,59-69,L,19-59,.773,4-22,17-22,11,25,36,33.1
2016,Mens,at Portland State,03/03/16,81-89,L,32-69,.769,7-19,10-13,8,29,37,33.3
2016,Mens,at Sacramento State,03/05/16,51-64,L,18-57,.769,5-27,10-13,11,24,35,33.3
2016,Mens,at Eastern Washington,03/08/16,52-74,L,19-47,.647,3-13,11-17,7,28,35,33.4
2024,Womens,at Oregon,11/06/23,48-81,L,20-69,.600,5-29,3-5,18,21,39,39.0
2024,Womens,at Arizona,11/10/23,64-87,L,24-58,.636,9-27,7-11,9,17,26,32.5
2024,Womens,vs Benedictine Mesa,11/15/23,91-37,W,38-80,.571,7-31,8-14,20,37,57,40.7
2024,Womens,at UC San Diego,11/19/23,74-69,W,23-59,.750,10-24,18-24,12,25,37,39.8
2024,Womens,vs Portland,11/24/23,66-65,W,26-59,.714,4-12,10-14,15,25,40,39.8
2024,Womens,vs Youngstown St.,11/25/23,74-70,W,29-62,.769,6-21,10-13,8,25,33,38.7
2024,Womens,vs UNLV,11/29/23,69-85,L,28-69,.667,7-21,6-9,6,25,31,37.6
2024,Womens,vs Pacific,12/06/23,96-65,W,32-69,.840,11-20,21-25,14,34,48,38.9
2024,Womens,at San Francisco,12/09/23,92-76,W,34-78,.923,12-32,12-13,16,25,41,39.1
2024,Womens,at Pepperdine,12/18/23,80-62,W,27-61,.750,8-17,18-24,12,27,39,39.1
2024,Womens,at Southern Utah,12/21/23,81-70,W,29-64,.842,7-19,16-19,8,28,36,38.8
2024,Womens,vs Northern Colo.,12/30/23,76-72,W,30-75,.727,8-24,8-11,11,23,34,38.4
2024,Womens,vs South Dakota St.,01/03/24,102-110,L,38-85,.625,11-23,15-24,11,30,41,38.6
2024,Womens,at North Dakota St.,01/06/24,73-99,L,28-61,.722,4-12,13-18,7,17,24,37.6
2024,Womens,vs Montana St.,01/11/24,88-73,W,28-58,.870,12-23,20-23,11,26,37,37.5
2024,Womens,vs Montana,01/13/24,84-89,L,29-68,1.000,5-19,21-21,9,24,33,37.3
2024,Womens,at Portland St.,01/18/24,73-65,W,22-52,.815,7-17,22-27,11,25,36,37.2
2024,Womens,at Sacramento St.,01/20/24,83-66,W,30-67,.882,8-25,15-17,13,35,48,37.8
2024,Womens,vs Idaho,01/25/24,65-53,W,26-54,.846,2-9,11-13,8,32,40,37.9
2024,Womens,vs Eastern Wash.,01/27/24,89-81,W,31-75,.944,10-26,17-18,14,33,47,38.4
2024,Womens,at Weber St.,02/01/24,85-65,W,30-55,.706,13-24,12-17,4,29,33,38.1
2024,Womens,at Idaho St.,02/03/24,73-59,W,23-56,.870,7-25,20-23,12,24,36,38.0
2024,Womens,at Montana,02/08/24,69-60,W,27-70,1.000,6-21,9-9,13,33,46,38.3
2024,Womens,at Montana St.,02/10/24,71-58,W,26-59,.929,6-15,13-14,15,29,44,38.6
2024,Womens,vs Sacramento St.,02/15/24,66-82,L,21-62,.467,10-32,14-30,15,22,37,38.5
2024,Womens,vs Portland St.,02/17/24,89-73,W,32-63,.833,10-24,15-18,8,21,29,38.2
2024,Womens,at Eastern Wash.,02/22/24,42-67,L,14-67,.588,4-24,10-17,17,25,42,38.3
2024,Womens,at Idaho,02/24/24,60-55,W,22-59,.917,5-22,11-12,9,32,41,38.4
2024,Womens,vs Idaho St.,02/29/24,89-74,W,28-67,.818,15-37,18-22,14,19,33,38.2
2024,Womens,vs Weber St.,03/02/24,73-41,W,30-67,.857,7-28,6-7,12,38,50,38.6
2024,Womens,at Northern Colo.,03/04/24,67-61,W,27-65,.625,8-20,5-8,14,23,37,38.5
2023,Womens,at Arizona St.,11/07/22,68-69,L,26-73,.467,9-27,7-15,19,31,50,50.0
2023,Womens,at Arizona,11/10/22,56-113,L,19-56,.591,5-21,13-22,12,17,29,39.5
2023,Womens,vs UC San Diego,11/13/22,87-54,W,30-70,.773,10-25,17-22,12,23,35,38.0
2023,Womens,at California Baptist,11/16/22,110-104,W,37-79,.636,15-34,21-33,10,40,50,41.0
2023,Womens,vs Park (AZ),11/20/22,111-44,W,45-78,.929,8-29,13-14,18,28,46,42.0
2023,Womens,at Arkansas,11/24/22,73-82,L,26-62,.786,10-25,11-14,8,30,38,41.3
2023,Womens,vs Kansas St.,11/25/22,80-93,L,29-61,.800,10-25,12-15,7,24,31,39.9
2023,Womens,vs Clemson,11/26/22,62-80,L,22-56,.682,3-22,15-22,12,20,32,38.9
2023,Womens,vs Southern Utah,12/03/22,76-65,W,28-72,.571,8-21,12-21,16,32,48,39.9
2023,Womens,at Fresno St.,12/08/22,63-68,L,25-54,.500,8-21,5-10,12,21,33,39.2
2023,Womens,at Cal Poly,12/10/22,79-76,W,26-64,.778,6-28,21-27,18,29,47,39.9
2023,Womens,at UC Davis,12/19/22,83-81,W,27-69,.857,11-26,18-21,13,26,39,39.8
2023,Womens,at UNLV,12/21/22,73-93,L,26-70,.786,10-27,11-14,14,28,42,40.0
2023,Womens,vs Idaho St.,12/29/22,64-69,L,24-68,.565,3-24,13-23,16,26,42,40.1
2023,Womens,vs Weber St.,12/31/22,82-68,W,21-57,.857,10-25,30-35,13,30,43,40.3
2023,Womens,at Montana,01/05/23,76-74,W,30-78,.714,6-25,10-14,14,32,46,40.7
2023,Womens,at Montana St.,01/07/23,85-80,W,30-66,.720,7-24,18-25,13,26,39,40.6
2023,Womens,vs Portland St.,01/12/23,66-78,L,26-64,.455,9-26,5-11,14,25,39,40.5
2023,Womens,vs Sacramento St.,01/14/23,77-67,W,28-65,.917,10-21,11-12,8,20,28,39.8
2023,Womens,at Idaho,01/19/23,90-67,W,37-71,.889,8-20,8-9,13,33,46,40.2
2023,Womens,at Eastern Wash.,01/21/23,89-96,L,33-81,.737,9-30,14-19,15,31,46,40.4
2023,Womens,at Northern Colo.,01/28/23,62-59,W,24-71,.750,5-26,9-12,16,26,42,40.5
2023,Womens,vs Montana St.,02/02/23,79-50,W,31-70,.800,9-27,8-10,13,33,46,40.7
2023,Womens,vs Montana,02/04/23,76-80,L,30-84,.636,9-41,7-11,17,27,44,40.9
2023,Womens,at Idaho St.,02/06/23,64-54,W,22-58,.667,8-27,12-18,14,22,36,40.7
2023,Womens,at Sacramento St.,02/09/23,84-82,W,27-62,.781,5-18,25-32,11,24,35,40.5
2023,Womens,at Portland St.,02/11/23,55-60,L,19-51,.813,4-16,13-16,9,33,42,40.5
2023,Womens,vs Eastern Wash.,02/16/23,61-55,W,20-68,.867,8-29,13-15,19,35,54,41.0
2023,Womens,vs Idaho,02/18/23,87-78,W,32-72,.714,13-30,10-14,13,26,39,40.9
2023,Womens,vs Northern Colo.,02/25/23,66-48,W,24-61,.643,9-19,9-14,10,32,42,41.0
2023,Womens,at Weber St.,02/27/23,66-57,W,24-59,.722,5-21,13-18,11,33,44,41.1
2023,Womens,vs Northern Colo.,03/05/23,64-48,W,23-66,.769,8-29,10-13,12,29,41,41.1
2023,Womens,vs Eastern Wash.,03/07/23,74-57,W,29-61,.455,11-24,5-11,14,32,46,41.2
2023,Womens,vs Sacramento St.,03/08/23,63-76,L,25-69,.636,6-19,7-11,12,22,34,41.0
2023,Womens,at New Mexico,03/16/23,64-72,L,27-66,.667,4-20,6-9,8,25,33,40.8
2022,Womens,at Washington St.,11/12/21,54-62,L,22-53,.600,4-14,6-10,8,33,41,41.0
2022,Womens,at Washington,11/14/21,65-72,L,28-72,.625,4-14,5-8,12,22,34,37.5
2022,Womens,vs UNLV,11/17/21,84-62,W,36-62,.625,7-15,5-8,4,34,38,37.7
2022,Womens,at UTEP,11/20/21,62-72,L,23-56,.600,7-19,9-15,8,22,30,35.8
2022,Womens,vs Weber St.,12/02/21,83-79,W,28-61,.759,5-14,22-29,10,26,36,35.8
2022,Womens,vs Idaho St.,12/04/21,81-74,W,29-50,.690,3-11,20-29,6,32,38,36.2
2022,Womens,vs Grand Canyon,12/09/21,108-77,W,43-68,.769,12-22,10-13,17,28,45,37.4
2022,Womens,vs California Baptist,12/11/21,73-89,L,27-68,.571,7-15,12-21,9,28,37,37.4
2022,Womens,vs Cal Poly,12/13/21,88-73,W,32-66,.941,8-17,16-17,10,30,40,37.7
2022,Womens,vs Arizona,12/17/21,55-82,L,21-52,.417,8-12,5-12,11,18,29,36.8
2022,Womens,at Idaho,12/30/21,76-63,W,29-71,.632,6-17,12-19,10,33,43,37.4
2022,Womens,vs Southern Utah,01/08/22,61-70,L,21-60,.667,5-19,14-21,8,25,33,37.0
2022,Womens,at Sacramento St.,01/10/22,68-57,W,25-58,.824,4-12,14-17,10,27,37,37.0
2022,Womens,at Montana St.,01/20/22,73-88,L,29-61,.778,8-20,7-9,9,20,29,36.4
2022,Womens,at Montana,01/22/22,60-66,L,23-76,.778,7-24,7-9,18,25,43,36.9
2022,Womens,at Eastern Wash.,01/24/22,69-54,W,28-58,.700,6-20,7-10,9,33,42,37.2
2022,Womens,at Portland St.,01/29/22,79-68,W,27-60,.778,11-19,14-18,14,25,39,37.3
2022,Womens,vs Northern Colo.,01/31/22,49-61,L,18-62,.818,4-19,9-11,13,21,34,37.1
2022,Womens,vs Sacramento St.,02/03/22,62-76,L,25-62,.818,3-14,9-11,9,13,22,36.3
2022,Womens,at Northern Colo.,02/05/22,77-71,W,26-56,.808,4-11,21-26,13,27,40,36.5
2022,Womens,vs Montana,02/10/22,60-59,W,20-58,.810,3-11,17-21,11,28,39,36.6
2022,Womens,vs Montana St.,02/12/22,77-83,L,30-62,.833,7-19,10-12,15,21,36,36.6
2022,Womens,vs Portland St.,02/17/22,94-66,W,37-64,.682,5-11,15-22,11,24,35,36.5
2022,Womens,at Southern Utah,02/21/22,67-90,L,25-59,.700,3-8,14-20,10,22,32,36.3
2022,Womens,at Idaho St.,02/24/22,66-76,L,23-60,.733,9-21,11-15,10,25,35,36.3
2022,Womens,at Weber St.,02/26/22,89-77,W,28-52,.683,5-11,28-41,7,25,32,36.1
2022,Womens,vs Eastern Wash.,03/02/22,81-67,W,28-65,.818,7-19,18-22,18,35,53,36.7
2022,Womens,vs Idaho,03/04/22,86-69,W,37-74,.556,7-17,5-9,14,28,42,36.9
2022,Womens,vs Montana,03/08/22,75-57,W,26-62,.727,7-15,16-22,9,26,35,36.9
2022,Womens,vs Northern Colo.,03/09/22,72-67,W,28-56,.714,6-14,10-14,7,24,31,36.7
