,Team,Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,FTM/A,OFF,DEF,TOT,AVG
2014,Womens,vs Idaho State,02/27/14,65-72,L,23-61,.727,3-17,16-22,15,21,36,35.2
2014,Womens,vs Weber State,03/01/14,73-74,L,27-57,.680,2-15,17-25,13,20,33,35.1
2014,Womens,at Montana State,03/06/14,85-99,L,32-66,.640,5-13,16-25,9,21,30,34.9
2014,Womens,at Montana,03/08/14,66-83,L,25-61,.625,6-16,10-16,17,29,46,35.3
2013,Womens,at New Mexico,11/09/12,57-68,L,22-55,.500,6-19,7-14,11,21,32,32.0
2013,Womens,vs CSU Bakersfield,11/12/12,68-71,L,26-55,.875,2-13,14-16,10,18,28,30.0
2013,Womens,at Nebraska,11/16/12,55-77,L,23-55,1.000,6-21,3-3,10,23,33,31.0
2013,Womens,at Nebraska-Omaha,11/18/12,75-79,L (2 OT),30-73,.600,12-33,3-5,16,27,43,34.0
2013,Womens,vs Western Michigan,11/23/12,67-78,L,25-61,.786,6-18,11-14,5,29,34,34.0
2013,Womens,vs Bradley,11/24/12,83-95,L,29-65,.792,6-17,19-24,13,22,35,34.2
2013,Womens,at Cal State Fullerton,11/30/12,55-54,W,20-42,.765,2-9,13-17,6,22,28,33.3
2013,Womens,at UC Riverside,12/02/12,43-71,L,16-62,.556,1-15,10-18,16,26,42,34.4
2013,Womens,vs Utah Valley,12/15/12,44-62,L,19-58,1.000,2-12,4-4,10,25,35,34.4
2013,Womens,at Montana,12/20/12,71-79,L (OT),29-65,.571,9-23,4-7,12,29,41,35.1
2013,Womens,at Montana State,12/22/12,52-69,L,20-52,.625,2-11,10-16,9,24,33,34.9
2013,Womens,at Southern Utah,01/03/13,71-61,W,24-55,.581,5-16,18-31,10,36,46,35.8
2013,Womens,vs Eastern Washington,01/10/13,83-68,W,30-58,.714,8-15,15-21,9,27,36,35.8
2013,Womens,vs Portland State,01/12/13,59-60,L,25-56,.818,0-14,9-11,8,30,38,36.0
2013,Womens,vs Weber State,01/17/13,76-55,W,30-65,.714,6-19,10-14,16,27,43,36.5
2013,Womens,vs Idaho State,01/19/13,48-52,L,20-57,.500,1-8,7-14,11,26,37,36.5
2013,Womens,at Northern Colorado,01/24/13,54-69,L,20-46,.800,2-8,12-15,7,16,23,35.7
2013,Womens,at North Dakota,01/26/13,50-70,L,20-60,.500,4-15,6-12,13,28,41,36.0
2013,Womens,at Sacramento State,01/31/13,67-73,L,25-72,.800,5-20,12-15,12,39,51,36.8
2013,Womens,vs Southern Utah,02/04/13,76-74,W (OT),29-59,.909,8-17,10-11,5,25,30,36.5
2013,Womens,at Portland State,02/07/13,61-66,L,22-54,.833,7-20,10-12,11,25,36,36.4
2013,Womens,at Eastern Washington,02/09/13,62-58,W,22-51,.696,2-8,16-23,7,25,32,36.2
2013,Womens,vs Northern Colorado,02/14/13,43-71,L,16-56,.556,1-15,10-18,8,20,28,35.9
2013,Womens,vs North Dakota,02/16/13,64-60,W (OT),22-58,.679,1-13,19-28,14,27,41,36.1
2013,Womens,vs Sacramento State,02/23/13,68-78,L,24-77,.800,4-16,16-20,22,27,49,36.6
2013,Womens,at Idaho State,02/28/13,46-67,L,11-47,.759,2-8,22-29,12,24,36,36.6
2013,Womens,at Weber State,03/02/13,65-49,W,27-55,.625,1-9,10-16,7,32,39,36.7
2013,Womens,vs Montana,03/07/13,51-59,L,19-45,.526,3-11,10-19,5,24,29,36.4
2013,Womens,vs Montana State,03/09/13,66-68,L,25-63,.647,5-15,11-17,16,24,40,36.5
2012,Womens,at Colorado,11/11/11,60-84,L,21-56,.750,9-25,9-12,12,22,34,34.0
2012,Womens,vs UC Riverside,11/13/11,67-59,W,20-50,.741,7-19,20-27,10,29,39,36.5
2012,Womens,vs Adams State,11/15/11,76-50,W,31-60,.636,7-10,7-11,18,22,40,37.7
2012,Womens,at South Dakota,11/18/11,56-73,L,24-60,.214,5-14,3-14,14,20,34,36.8
2012,Womens,at Iowa State,11/20/11,41-65,L,14-48,.563,4-14,9-16,4,24,28,35.0
2012,Womens,vs Utah Valley,11/23/11,73-59,W,29-64,.526,5-20,10-19,18,26,44,36.5
2012,Womens,vs Kent State,11/26/11,72-56,W,28-72,.474,7-22,9-19,21,20,41,37.1
2012,Womens,at San Jose State,12/01/11,64-74,L,24-63,.643,7-21,9-14,18,23,41,37.6
2012,Womens,vs Cal State Fullerton,12/04/11,64-54,W,24-59,.591,3-14,13-22,21,32,53,39.3
2012,Womens,vs Nebraska,12/10/11,88-97,L (2 OT),33-84,.625,12-28,10-16,21,22,43,39.7
2012,Womens,at Utah Valley,12/17/11,56-73,L,23-64,.474,1-13,9-19,15,20,35,39.3
2012,Womens,at Utah State,12/19/11,51-70,L,21-63,.400,3-14,6-15,19,21,40,39.3
2012,Womens,at Sacramento State,12/29/11,85-91,L (2 OT),33-94,.542,6-27,13-24,25,39,64,41.2
2012,Womens,at Northern Colorado,12/31/11,71-77,L,29-68,.500,5-17,8-16,13,17,30,40.4
2012,Womens,vs Portland State,01/05/12,74-84,L,29-74,.857,4-11,12-14,15,18,33,39.9
2012,Womens,vs Eastern Washington,01/07/12,56-74,L,21-50,.533,6-11,8-15,14,21,35,39.6
2012,Womens,at Montana,01/12/12,48-60,L,17-51,.923,2-15,12-13,13,23,36,39.4
2012,Womens,at Montana State,01/14/12,65-77,L,24-62,.524,6-18,11-21,8,27,35,39.2
2012,Womens,vs Weber State,01/19/12,71-58,W,26-63,.765,6-14,13-17,17,25,42,39.3
2012,Womens,vs Idaho State,01/21/12,44-49,L,18-57,.444,4-15,4-9,14,30,44,39.6
2012,Womens,vs Sacramento State,01/28/12,94-56,W,38-80,.625,8-19,10-16,23,35,58,40.4
2012,Womens,at Eastern Washington,02/02/12,58-84,L,22-54,.545,2-9,12-22,13,17,30,40.0
2012,Womens,at Portland State,02/04/12,59-73,L,25-57,.444,5-14,4-9,11,15,26,39.3
2012,Womens,at Idaho State,02/09/12,54-62,L,21-55,.563,3-12,9-16,13,20,33,39.1
2012,Womens,at Weber State,02/11/12,85-82,W,30-65,.692,7-21,18-26,13,21,34,38.9
2012,Womens,vs Montana State,02/16/12,78-83,L,25-61,.714,8-23,20-28,16,24,40,38.9
2012,Womens,at CSU Bakersfield,02/19/12,77-86,L,27-63,.792,4-16,19-24,13,29,42,39.0
2012,Womens,vs Northern Colorado,02/27/12,63-75,L,22-51,.789,4-18,15-19,7,13,20,38.4
2012,Womens,vs Montana,03/03/12,74-70,W,26-50,.560,8-18,14-25,10,29,39,38.4
2011,Womens,at Arizona State,11/12/10,46-81,L,17-54,.500,2-11,10-20,13,25,38,38.0
2011,Womens,at Arizona,11/15/10,49-71,L,17-56,.471,7-26,8-17,6,22,28,33.0
2011,Womens,vs North Dakota State,11/19/10,76-69,W,28-59,.700,6-14,14-20,7,28,35,33.7
2011,Womens,vs Queens (N.Y.),11/22/10,83-71,W,30-76,.708,6-14,17-24,20,22,42,35.8
2011,Womens,vs Binghamton,11/26/10,61-57,W,22-56,.750,8-21,9-12,11,15,26,33.8
2011,Womens,vs Drake,11/27/10,52-67,L,21-63,.750,4-13,6-8,12,22,34,33.8
2011,Womens,vs San Jose State,12/01/10,67-53,W,25-52,.364,9-19,8-22,11,24,35,34.0
2011,Womens,vs Utah State,12/04/10,75-80,L (OT),28-68,.524,8-26,11-21,13,28,41,34.9
2011,Womens,vs South Dakota,12/09/10,57-69,L,23-66,.545,5-20,6-11,12,20,32,34.6
2011,Womens,at San Diego,12/11/10,63-78,L,26-58,.538,4-13,7-13,9,11,20,33.1
2011,Womens,at Northwestern,12/19/10,70-88,L,27-72,.462,10-27,6-13,19,19,38,33.5
2011,Womens,at Minnesota,12/22/10,74-82,L,27-67,.737,6-17,14-19,13,18,31,33.3
2011,Womens,vs Iona,12/30/10,74-57,W,26-66,.850,5-18,17-20,17,26,43,34.1
2011,Womens,at Idaho State,01/06/11,54-64,L,20-69,.611,3-19,11-18,18,27,45,34.9
2011,Womens,at Weber State,01/08/11,69-62,W,25-59,.600,4-15,15-25,12,20,32,34.7
2011,Womens,vs Montana,01/13/11,64-60,W,21-53,.615,6-16,16-26,11,24,35,34.7
2011,Womens,vs Montana State,01/15/11,70-82,L,26-60,.667,6-17,12-18,11,26,37,34.8
2011,Womens,vs Eastern Washington,01/20/11,53-60,L,17-49,.565,6-18,13-23,12,20,32,34.7
2011,Womens,vs Portland State,01/22/11,48-56,L,19-69,.500,3-21,7-14,15,31,46,35.3
2011,Womens,at Northern Colorado,01/27/11,58-72,L,20-66,.800,6-15,12-15,13,19,32,35.1
2011,Womens,at Montana State,02/03/11,64-80,L,25-64,.643,5-17,9-14,9,24,33,35.0
2011,Womens,at Montana,02/05/11,61-84,L,23-62,.867,2-14,13-15,16,20,36,35.0
2011,Womens,vs Weber State,02/10/11,75-63,W,29-55,.750,2-8,15-20,10,17,27,34.7
2011,Womens,vs Idaho State,02/12/11,59-55,W,22-57,.750,6-23,9-12,7,30,37,34.8
2011,Womens,at Eastern Washington,02/17/11,54-59,L,19-62,.591,3-14,13-22,19,23,42,35.1
2011,Womens,at Portland State,02/19/11,55-76,L,19-52,.667,3-13,14-21,9,23,32,35.0
2011,Womens,vs Sacramento State,02/24/11,83-64,W,33-71,.722,4-10,13-18,14,28,42,35.2
2011,Womens,vs Northern Colorado,02/26/11,56-62,L,23-61,.571,6-18,4-7,13,19,32,35.1
2011,Womens,at Sacramento State,03/03/11,82-77,W,29-67,.682,9-22,15-22,14,27,41,35.3
