,Team,#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
2020,Mens,34,"McCree, Ted",12,28.8,.391,.393,.824,0.3,1.6,1.8,2.4,0.8,0.1,10.2
2020,Mens,00,"Satterwhite, Cameron",29,24.3,.427,.380,.778,0.3,2.0,2.4,1.5,1.0,0.3,9.0
2020,Mens,21,"Avdalovic, Luke",28,27.5,.438,.413,.763,0.1,1.3,1.4,1.0,0.6,0.0,8.9
2020,Mens,15,"Mains, Nik",30,15.7,.476,.360,.852,0.6,2.3,2.9,0.4,0.5,0.1,4.7
2020,Mens,32,"Bowling, Chris",29,13.5,.341,.259,.783,0.1,1.2,1.3,0.5,0.3,0.2,3.2
2020,Mens,14,"Lewis, Isaiah",21,9.4,.500,.200,.600,0.3,0.8,1.0,0.6,0.5,0.0,2.4
2020,Mens,13,"Haymon, Keith",21,7.1,.429,.370,.500,0.2,0.3,0.6,0.2,0.0,0.0,2.0
2020,Mens,02,"Aguek, Ajang",25,5.6,.600,.500,.667,0.2,0.6,0.8,0.2,0.1,0.1,1.7
2020,Mens,03,"Cummard, David",8,4.1,.250,.000,.500,0.0,0.1,0.1,0.5,0.1,0.0,0.4
2020,Mens,05,"Burns, Charles",4,1.8,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Mens,10,"Andre, Bernie",31,29.9,.449,.330,.741,2.4,6.1,8.5,1.2,0.7,0.3,13.8
2019,Mens,04,"Hines, Carlos",30,28.7,.371,.298,.728,0.4,2.1,2.5,4.0,1.4,0.1,12.9
2019,Mens,34,"McCree, Ted",26,23.7,.411,.375,.872,0.2,1.9,2.1,1.0,0.7,0.1,10.7
2019,Mens,21,"Avdalovic, Luke",30,26.6,.484,.493,.857,0.1,2.0,2.1,0.9,0.6,0.0,9.5
2019,Mens,20,"Shelton, Cameron",30,27.5,.386,.317,.743,1.0,3.1,4.1,2.5,1.2,0.2,8.0
2019,Mens,25,"DeBisschop, Brooks",30,25.1,.579,.200,.562,2.2,3.8,5.9,1.3,0.8,0.7,7.0
2019,Mens,01,"Bolton, Davon",31,14.5,.347,.221,.691,0.1,1.3,1.4,1.1,0.2,0.0,5.0
2019,Mens,15,"Mains, Nik",31,15.4,.495,.306,.700,0.5,1.4,1.9,0.3,0.5,0.4,4.9
2019,Mens,33,"Thomas, Isaiah",23,8.4,.556,.000,.375,0.7,1.1,1.9,0.1,0.1,0.4,2.4
2019,Mens,32,"Bowling, Chris",20,10.5,.267,.276,.700,0.1,0.9,1.0,0.2,0.3,0.1,2.0
2019,Mens,35,"Seck, Aziz",20,6.8,.619,.000,.389,0.5,1.0,1.4,0.3,0.2,0.2,1.7
2018,Mens,00,"Johnson, Torry",31,26.9,.377,.322,.774,0.7,1.5,2.2,1.6,1.1,0.0,11.5
2018,Mens,04,"Anderson, JoJo",28,25.3,.346,.325,.813,0.3,1.5,1.8,2.2,0.5,0.1,11.1
2018,Mens,14,"Harris, Karl",32,18.3,.383,.224,.819,0.5,1.8,2.2,0.7,0.5,0.1,8.2
2018,Mens,32,"Bowling, Chris",31,23.8,.347,.324,.719,0.4,2.3,2.6,1.1,0.7,0.4,7.7
2018,Mens,03,"Littles, Gino",30,30.9,.337,.323,.581,0.4,2.5,2.9,2.5,0.9,0.0,6.9
2018,Mens,02,"Brown, Corey",29,16.6,.603,.000,.557,1.2,2.2,3.4,0.3,0.7,0.3,6.6
2018,Mens,33,"Thomas, Isaiah",32,19.9,.534,.000,.578,1.8,3.2,5.0,0.2,0.2,1.1,5.8
2018,Mens,25,"DeBisschop, Brooks",29,27.6,.393,.265,.524,2.2,5.3,7.4,1.1,0.9,0.4,5.2
2018,Mens,01,"Hines, Carlos",21,9.8,.319,.306,.710,0.2,0.9,1.1,0.6,0.1,0.2,3.7
2018,Mens,23,"Henry, Lenell",19,11.8,.540,.333,.500,1.0,1.9,2.9,0.2,0.4,0.4,3.6
2018,Mens,10,"Allen, Malcolm",3,10.3,.556,.000,.000,0.0,0.0,0.0,1.7,0.3,0.0,3.3
2018,Mens,55,"Fuamba, Ruben",19,11.3,.478,.000,.556,1.1,2.1,3.2,0.1,0.1,0.6,1.4
2018,Mens,12,"de Laveaga, Kye",7,5.3,.250,.250,.800,0.0,0.0,0.0,0.1,0.1,0.0,1.0
2018,Mens,12,"de Laveaga, Kye",6,4.7,.125,.125,1.000,0.0,0.3,0.3,0.2,0.2,0.0,1.0
2018,Mens,05,"Ndiaye, Omar",1,1.0,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,Mens,34,"Martin, Jordyn",32,30.2,.525,.474,.684,3.5,5.3,8.9,1.2,0.7,0.3,13.3
2017,Mens,11,"Kaluna, Ako",30,24.2,.462,.333,.690,2.5,3.0,5.5,1.4,0.5,0.5,11.2
